caldt,vwretd,year,return
1/31/1980,0.061308,,0.300751
2/29/1980,0.002611,,-0.072788
3/31/1980,-0.097518,,0.217804
4/30/1980,0.042394,,0.207218
5/30/1980,0.05556,,0.073605
6/30/1980,0.029722,,0.287579
7/31/1980,0.0682,,0.182319
8/29/1980,0.013454,,
9/30/1980,0.027935,,
10/31/1980,0.017809,,
11/28/1980,0.10991,,
12/31/1980,-0.030634,,
1/30/1981,-0.04337,,
2/27/1981,0.021267,,
3/31/1981,0.038285,,
4/30/1981,-0.020211,,
5/29/1981,0.006539,,
6/30/1981,-0.008255,,
7/31/1981,0.000714,,
8/31/1981,-0.05554,,
9/30/1981,-0.050466,,
10/30/1981,0.052115,,
11/30/1981,0.043827,,
12/31/1981,-0.027059,,
1/29/1982,-0.015367,,
2/26/1982,-0.050441,,
3/31/1982,-0.006805,,
4/30/1982,0.04155,,
5/28/1982,-0.029505,,
6/30/1982,-0.015779,,
7/30/1982,-0.020199,,
8/31/1982,0.127402,,
9/30/1982,0.010496,,
10/29/1982,0.113863,,
11/30/1982,0.045754,,
12/31/1982,0.016835,,
1/31/1983,0.035293,,
2/28/1983,0.025733,,
3/31/1983,0.03547,,
4/29/1983,0.075719,,
5/31/1983,-0.005687,,
6/30/1983,0.03697,,
7/29/1983,-0.031238,,
8/31/1983,0.015864,,
9/30/1983,0.014105,,
10/31/1983,-0.013108,,
11/30/1983,0.023846,,
12/30/1983,-0.005749,,
1/31/1984,-0.003898,,
2/29/1984,-0.034034,,
3/30/1984,0.017295,,
4/30/1984,0.006781,,
5/31/1984,-0.053131,,
6/29/1984,0.022937,,
7/31/1984,-0.013765,,
8/31/1984,0.112438,,
9/28/1984,-0.000064,,
10/31/1984,0.003331,,
11/30/1984,-0.009841,,
12/31/1984,0.025556,,
1/31/1985,0.076868,,
2/28/1985,0.014166,,
3/29/1985,-0.000636,,
4/30/1985,-0.003704,,
5/31/1985,0.06274,,
6/28/1985,0.016065,,
7/31/1985,-0.003321,,
8/30/1985,-0.006473,,
9/30/1985,-0.033248,,
10/31/1985,0.045079,,
11/29/1985,0.071887,,
12/31/1985,0.048156,,
1/31/1986,0.004706,,
2/28/1986,0.076525,,
3/31/1986,0.055832,,
4/30/1986,-0.013348,,
5/30/1986,0.055326,,
6/30/1986,0.015744,,
7/31/1986,-0.057541,,
8/29/1986,0.074417,,
9/30/1986,-0.083243,,
10/31/1986,0.056538,,
11/28/1986,0.024876,,
12/31/1986,-0.027513,,
1/30/1987,0.135183,,
2/27/1987,0.041778,,
3/31/1987,0.026336,,
4/30/1987,-0.009045,,
5/29/1987,0.009128,,
6/30/1987,0.05014,,
7/31/1987,0.049843,,
8/31/1987,0.039108,,
9/30/1987,-0.02194,,
10/30/1987,-0.215795,,
11/30/1987,-0.081874,,
12/31/1987,0.073922,,
1/29/1988,0.042712,,
2/29/1988,0.047445,,
3/31/1988,-0.030847,,
4/29/1988,0.010516,,
5/31/1988,0.008012,,
6/30/1988,0.047676,,
7/29/1988,-0.004458,,
8/31/1988,-0.032488,,
9/30/1988,0.042739,,
10/31/1988,0.026891,,
11/30/1988,-0.014355,,
12/30/1988,0.018553,,
1/31/1989,0.072303,,
2/28/1989,-0.025031,,
3/31/1989,0.023038,,
4/28/1989,0.051707,,
5/31/1989,0.041022,,
6/30/1989,-0.005611,,
7/31/1989,0.090053,,
8/31/1989,0.019853,,
9/29/1989,-0.004004,,
10/31/1989,-0.023639,,
11/30/1989,0.020479,,
12/29/1989,0.022657,,
1/31/1990,-0.067661,,
2/28/1990,0.013381,,
3/30/1990,0.026588,,
4/30/1990,-0.024504,,
5/31/1990,0.097419,,
6/29/1990,-0.006754,,
7/31/1990,-0.004454,,
8/31/1990,-0.090801,,
9/28/1990,-0.048959,,
10/31/1990,-0.003597,,
11/30/1990,0.064561,,
12/31/1990,0.027987,,
1/31/1991,0.045001,,
2/28/1991,0.071565,,
3/28/1991,0.024354,,
4/30/1991,0.002268,,
5/31/1991,0.04293,,
6/28/1991,-0.045357,,
7/31/1991,0.046526,,
8/30/1991,0.023885,,
9/30/1991,-0.016861,,
10/31/1991,0.013458,,
11/29/1991,-0.040214,,
12/31/1991,0.114089,,
1/31/1992,-0.018348,,
2/28/1992,0.012865,,
3/31/1992,-0.01947,,
4/30/1992,0.028614,,
5/29/1992,0.00485,,
6/30/1992,-0.01503,,
7/31/1992,0.040924,,
8/31/1992,-0.020615,,
9/30/1992,0.01134,,
10/30/1992,0.004796,,
11/30/1992,0.033794,,
12/31/1992,0.01338,,
1/29/1993,0.007282,,
2/26/1993,0.013526,,
3/31/1993,0.021202,,
4/30/1993,-0.024519,,
5/28/1993,0.026259,,
6/30/1993,0.003466,,
7/30/1993,-0.004593,,
8/31/1993,0.037431,,
9/30/1993,-0.007582,,
10/29/1993,0.019884,,
11/30/1993,-0.008655,,
12/31/1993,0.012646,,
1/31/1994,0.033429,,
2/28/1994,-0.027161,,
3/31/1994,-0.043456,,
4/29/1994,0.012817,,
5/31/1994,0.016309,,
6/30/1994,-0.024762,,
7/29/1994,0.032714,,
8/31/1994,0.041341,,
9/30/1994,-0.02394,,
10/31/1994,0.022622,,
11/30/1994,-0.036248,,
12/30/1994,0.014955,,
1/31/1995,0.026,,
2/28/1995,0.039228,,
3/31/1995,0.029334,,
4/28/1995,0.029395,,
5/31/1995,0.039809,,
6/30/1995,0.024155,,
7/31/1995,0.033405,,
8/31/1995,0.003502,,
9/29/1995,0.042102,,
10/31/1995,-0.003442,,
11/30/1995,0.044179,,
12/29/1995,0.017643,,
1/31/1996,0.034861,,
2/29/1996,0.010088,,
3/29/1996,0.009585,,
4/30/1996,0.015133,,
5/31/1996,0.025257,,
6/28/1996,0.004128,,
7/31/1996,-0.044444,,
8/30/1996,0.021928,,
9/30/1996,0.056035,,
10/31/1996,0.026798,,
11/29/1996,0.076441,,
12/31/1996,-0.019798,,
1/31/1997,0.062827,,
2/28/1997,0.007752,,
3/31/1997,-0.041688,,
4/30/1997,0.060274,,
5/30/1997,0.061401,,
6/30/1997,0.044103,,
7/31/1997,0.080388,,
8/29/1997,-0.054975,,
9/30/1997,0.053886,,
10/31/1997,-0.032605,,
11/28/1997,0.046321,,
12/31/1997,0.017147,,
1/30/1998,0.011994,,
2/27/1998,0.071956,,
3/31/1998,0.051336,,
4/30/1998,0.011275,,
5/29/1998,-0.017674,,
6/30/1998,0.04097,,
7/31/1998,-0.010109,,
8/31/1998,-0.143124,,
9/30/1998,0.063176,,
10/30/1998,0.080111,,
11/30/1998,0.062164,,
12/31/1998,0.059673,,
1/29/1999,0.0428,,
2/26/1999,-0.031935,,
3/31/1999,0.038979,,
4/30/1999,0.037559,,
5/28/1999,-0.023159,,
6/30/1999,0.054431,,
7/30/1999,-0.03022,,
8/31/1999,-0.005004,,
9/30/1999,-0.028079,,
